Statistical profiling result from v8.log, (4752 ticks, 15 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.1%    0.1%  LazyCompile: *bindEach /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:41839:22
      3    0.1%    0.1%  LazyCompile: *bindCondition /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:42149:27
      3    0.1%    0.1%  Function: ^bindChildren /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:41848:26
      2    0.0%    0.0%  RegExp: [^\u0130\u0131\u00DFa-z0-9\\/:\-_\. ]+
      2    0.0%    0.0%  RegExp: (?:\/\/)|(?:^|\/)\.\.?(?:$|\/) {1}
      2    0.0%    0.0%  LazyCompile: *scanIdentifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:10688:28
      2    0.0%    0.0%  LazyCompile: *parseSeeTag /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:34828:33
      2    0.0%    0.0%  LazyCompile: *parseNonArrayType /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:30962:35
      2    0.0%    0.0%  LazyCompile: *parseJSDocNameReference /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:34244:43
      2    0.0%    0.0%  LazyCompile: *parseIntersectionTypeOrHigher /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31195:47
      2    0.0%    0.0%  LazyCompile: *parseImportDeclarationOrImportEqualsDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33909:65
      2    0.0%    0.0%  LazyCompile: *parseDeclarationWorker /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33185:40
      2    0.0%    0.0%  LazyCompile: *parseBinaryExpressionOrHigher /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31727:47
      2    0.0%    0.0%  LazyCompile: *left /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27583:22
      2    0.0%    0.0%  LazyCompile: *isParenthesizedArrowFunctionExpressionWorker /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31509:62
      2    0.0%    0.0%  LazyCompile: *isConflictMarkerTrivia /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:9325:34
      2    0.0%    0.0%  LazyCompile: *hasSyntacticModifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:16911:32
      2    0.0%    0.0%  LazyCompile: *hasExtendedUnicodeEscape /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:9590:33
      2    0.0%    0.0%  LazyCompile: *getNormalizedPathComponents /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:6786:39
      2    0.0%    0.0%  LazyCompile: *getDeclarationName /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:41548:32
      2    0.0%    0.0%  LazyCompile: *forEachChildInPrefixUnaryExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:28302:88
      2    0.0%    0.0%  LazyCompile: *findSourceFileWorker /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:118224:34
      2    0.0%    0.0%  LazyCompile: *createQualifiedName /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:20958:33
      2    0.0%    0.0%  LazyCompile: *createNodeArray /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29429:33
      2    0.0%    0.0%  LazyCompile: *createFunctionDeclaration /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:22446:39
      2    0.0%    0.0%  LazyCompile: *createFlowCondition /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:42065:33
      2    0.0%    0.0%  LazyCompile: *createConditionalExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:21965:41
      2    0.0%    0.0%  LazyCompile: *createCallExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:21726:34
      2    0.0%    0.0%  LazyCompile: *checkStrictModeBinaryExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:43038:45
      2    0.0%    0.0%  LazyCompile: *bindParentToChildIgnoringJSDoc /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:18871:44
      2    0.0%    0.0%  LazyCompile: *bindObjectLiteralExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:42872:41
      2    0.0%    0.0%  LazyCompile: *bindContainer /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:41755:27
      2    0.0%    0.0%  LazyCompile: *addWorkItem /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27845:25
      2    0.0%    0.0%  LazyCompile: *addJSDocComment /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:28893:33
      2    0.0%    0.0%  Function: ^isKeyword /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:15799:21
      1    0.0%    0.0%  RegExp: ^\.\.?($|[\\/])
      1    0.0%    0.0%  RegExp: ^(?:\/|\*)*\s*@(ts-expect-error|ts-ignore) {1}
      1    0.0%    0.0%  RegExp: ^(?:\/|\*)*\s*@(ts-expect-error|ts-ignore)
      1    0.0%    0.0%  RegExp: ^#!.*
      1    0.0%    0.0%  LazyCompile: *visitNode2 /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27707:22
      1    0.0%    0.0%  LazyCompile: *tryParseTypeExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:34741:44
      1    0.0%    0.0%  LazyCompile: *tryParseModifier /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:33579:34
      1    0.0%    0.0%  LazyCompile: *tryParse /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:29212:26
      1    0.0%    0.0%  LazyCompile: *tryExtension /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:40152:26
      1    0.0%    0.0%  LazyCompile: *trampoline /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27366:24
      1    0.0%    0.0%  LazyCompile: *statSync node:fs:1682:18
      1    0.0%    0.0%  LazyCompile: *skipWhitespaceOrAsterisk /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:34470:46
      1    0.0%    0.0%  LazyCompile: *scanJSDocCommentTextToken /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:10914:39
      1    0.0%    0.0%  LazyCompile: *scanEscapeSequence /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:9935:32
      1    0.0%    0.0%  LazyCompile: *right /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:27603:23
      1    0.0%    0.0%  LazyCompile: *resolveModuleName /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:39590:29
      1    0.0%    0.0%  LazyCompile: *removeTrailingWhitespace /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:34436:46
      1    0.0%    0.0%  LazyCompile: *realpathSync node:fs:2577:22
      1    0.0%    0.0%  LazyCompile: *reScanGreaterToken /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:10701:32
      1    0.0%    0.0%  LazyCompile: *propagateNameFlags /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:24218:30
      1    0.0%    0.0%  LazyCompile: *parseTypeOfExpression /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:31783:39
      1    0.0%    0.0%  LazyCompile: *parseTypeMember /Users/sobkamil/git/aws-cdk-fork/testapps/testapp001/node_modules/typescript/lib/typescript.js:30717:33
